site_id,year,vi_index,n_obs,method,r2,rmse,corr,vmin,vmax,S,greenup_kinetic_i,A,senescence_kinetic_i,leaf_out_10,leaf_out_50,leaf_out_90,EOS10,EOS50,EOS90
US-Aud,2017,NDVI,30,double_logistic,0.9842068685191903,0.014589950965307427,0.9920727081081026,0.18028784033563508,0.6116426380128359,198.81168471215926,0.20144059239387702,252.6694796392998,0.04174197495390164,188.81117617358015,198.31189813594128,207.00780284271923,309.1644992757446,262.39485200283735,230.63595199559225
US-Aud,2017,EVI,30,double_logistic,0.9660367375827227,0.012490977509126474,0.9828814069291311,0.09656438378218495,0.3433678745722413,196.16513556091226,0.2611956294187432,250.83377579802658,0.045479591690249184,188.33891010810237,195.88979270245116,202.93860815837232,302.17453736314377,257.747188110941,225.9415707759714
US-Aud,2017,NIRv,30,double_logistic,0.9661613630711543,0.005380842234568531,0.9829400515487069,0.03241725627151341,0.14046131924150712,197.11301869110667,0.2192584554700867,250.82853099613243,0.04493912516385074,187.8157918933574,196.68135260134392,204.815653071883,303.3629257858203,258.8834652427688,228.02651817252539
US-Aud,2018,NDVI,34,double_logistic,0.9710881041440271,0.01673748006517746,0.9854620016702268,0.17646282083357306,0.5631077177344586,202.12239270625767,0.08320357469474719,270.30545899281924,0.034467619065391725,176.20887557787466,198.8249598305455,217.26972709440093,334.5732467686751,285.4664048371585,250.913353104623
US-Aud,2018,EVI,34,double_logistic,0.9604922407315081,0.010434128137406282,0.9801169280823708,0.08852159427254692,0.44565002799044234,211.8391682628516,0.05180729065542898,249.43488964097594,0.046730245316943884,157.60309836859432,194.2755217813173,217.55777678931196,311.66938963031794,271.70310233996986,246.87232655232543
US-Aud,2018,NIRv,34,double_logistic,0.9566689436024072,0.004466979665759071,0.9782734095661768,0.02935806236084796,0.18215853054996187,216.59325738116786,0.04883843768403097,251.4211235412025,0.05154084002679794,155.53319747015527,194.86174963210064,218.82592763685358,306.7323822716846,270.32610553104104,247.32538313457673
US-Aud,2019,NDVI,27,double_logistic,0.9398671931010039,0.019013337483115813,0.9694716295312579,0.19459944901457077,0.678479303318527,229.55759140192612,0.06140821792898568,271.6775476725728,0.04400831878824703,188.76545178302433,218.77554043797147,239.4941838529114,333.5150183963135,293.5697082413835,268.0503426806519
US-Aud,2019,EVI,27,double_logistic,0.8606635630684258,0.018822890128174456,0.9278345638311681,0.08369771027825022,0.4684458181081401,239.97415813317787,0.0228438940175506,292.42632094958384,0.03405941928014052,102.39045120913451,181.2678801512394,227.48797544580165,349.69380461238717,309.2090307403502,275.8994539152186
US-Aud,2019,NIRv,27,double_logistic,0.8648160978251473,0.008447263328781877,0.9300666957977661,0.027009549003923054,0.20141994326916626,240.45236531616075,0.022561687885076585,293.6894857870924,0.03396270302518432,101.59027937720987,181.22887345299435,227.9288891425126,350.3643128995862,310.1133471457558,276.70976138374095
US-Aud,2020,NDVI,33,double_logistic,0.5947015488171177,0.032449374476939165,0.7850090539872523,0.21637021357996375,0.4107230125048903,216.35955866315567,0.08895995179923816,270.38160530349404,0.05193795244978935,189.93242679934312,212.11293520401347,228.8724358101612,317.3306024835573,280.77421817644154,256.0107677737673
US-Aud,2020,EVI,33,double_logistic,0.6326449114126413,0.02111387639815757,0.8091860210305625,0.12951440320967883,0.23721391593507504,219.24490202838828,0.17185663841924115,270.9311657526559,0.0650306482076353,206.40086808714472,218.2908357843027,228.48314975783777,306.84525455748724,275.2787885682577,251.92708624499772
US-Aud,2020,NIRv,33,double_logistic,0.6890870096965221,0.008691218235742985,0.832865828926798,0.023649475880358248,0.12844420509269713,214.78958217385258,0.013039099097215633,321.2778392052487,0.021487672867150826,41.19299432870542,135.56220722882549,207.7883818217287,352.5079136732854,320.71953642501745,280.2345915027714
US-Aud,2021,NDVI,37,double_logistic,0.9831919961522096,0.015993895809337775,0.9915613051517356,0.1834587715040537,0.9370648035411029,209.79120150214993,0.08053556238143668,244.3283338509701,0.03450723646942647,186.8789631534881,206.05550582876938,222.3030138677401,323.188967858383,276.9768384702002,248.98890103632945
US-Aud,2021,EVI,37,double_logistic,0.9783980925211059,0.01094652018476996,0.9892891723225673,0.11191787093508206,0.5359585823395494,213.38184647858392,0.09055869959099451,248.14680345287104,0.04482287417476995,190.53681137217572,208.97433327089846,223.61012844980246,310.52279863904,270.5113986197031,246.87958827126346
US-Aud,2021,NIRv,37,double_logistic,0.9782500655228286,0.004915709840954673,0.9892352898036029,0.0445012450105179,0.21148215504724813,214.30154013381443,0.10815022138307442,251.5851697550583,0.051812548361256594,194.39887315104124,210.88251811372186,223.87574418635236,303.45516138086634,267.16674326104277,245.31833463205857
US-Aud,2022,NDVI,67,double_logistic,0.9821277670648385,0.015228178038191709,0.9910412897359127,0.17050951342450682,0.5940079836485435,213.139716663673,0.14176880765978978,284.5980081799937,0.036330337831286856,198.47151251713942,212.25426713305197,224.5750281459924,337.8840343641907,292.02477462816756,255.48583884589078
US-Aud,2022,EVI,67,double_logistic,0.9688897033872093,0.01076647805407019,0.9844025002889649,0.09989199828600084,0.36088348533241527,215.01348146737118,0.12698134093876712,271.48709408972934,0.04231876970136336,198.51281925428128,213.45454311548556,226.2134700950271,325.7086540381027,282.44729148709706,252.7530890874509
US-Aud,2022,NIRv,67,double_logistic,0.9632195784713568,0.0050429823988271906,0.9814796653969918,0.03692055887604168,0.16393985941097222,217.93322765692156,0.12148275032179319,265.2037087444961,0.04712435885996565,200.53917746810936,215.81356336894402,228.45035895858615,317.6114266859844,277.7437912222329,252.17960390107268
US-Aud,2023,NDVI,65,double_logistic,0.7523524883107043,0.01830644577633547,0.8695743783400832,0.14946255961019775,0.3175930972200709,160.86310514397286,0.015408793811028755,332.9588831048957,0.02232840144844948,39.16933814418042,128.4875638326394,202.45603863583125,359.9326040641274,325.9283259408095,282.04246018448225
US-Aud,2023,EVI,65,double_logistic,0.8548430201387038,0.009880246418359058,0.9261701313178081,0.0824150915101023,0.14144706424354508,102.36150632557091,0.09848660088187558,335.0641548025667,0.03891135343334089,80.02847685522748,102.31092812360549,124.42619701551038,358.15147471709093,324.215591063738,272.78253193666933
US-Aud,2023,NIRv,65,double_logistic,0.8765739391094016,0.0038788474192320787,0.9376172587773324,0.026236514168291987,0.05168171765788263,104.88881464096069,0.10015254436863265,333.5386128241081,0.03821394634505537,82.92332548840133,104.83113821307374,126.5499843412626,357.7099511684856,322.82944283171486,270.46737499773946
US-Aud,2024,NDVI,68,double_logistic,0.906060886858279,0.01703032937347736,0.9520731132151111,0.19544600030101156,0.38967853648228984,188.4948436613331,0.14865926885269395,250.77402643625774,0.041661472372771166,174.43057630456673,187.52810719282346,199.08154495282878,307.40147754276353,259.88228902135586,226.97394066598
US-Aud,2024,EVI,68,double_logistic,0.8661852354329282,0.011845015679431014,0.931052865665552,0.1049177609322576,0.34533708217140857,197.93741790523052,0.0588651548797344,228.92898293919114,0.04948512646065362,151.49614164233586,182.88561360015495,203.21628489225898,290.78905237774,252.4067113079134,229.4440547527588
US-Aud,2024,NIRv,68,double_logistic,0.8671262065204833,0.004908327778880733,0.9314148014096411,0.03603657734641356,0.13969605548397676,200.30925711342445,0.05520606453508892,230.27403063899555,0.04984318606883514,148.51747025381303,182.47696448599007,203.86146188023542,291.7687679391728,253.63145983396214,230.65243729462887
