site_id,lat,lon,sensor,date,NDVI,EVI,NIRv,valid_pixel_frac
US-Seg,34.3603,-106.7003,L30,2025-07-08,0.23268565859393667,0.16437330504628694,0.06881893761419768,1.0
US-Seg,34.3603,-106.7003,L30,2025-07-09,0.22233707227465846,0.15960745303544482,0.06669014349792499,1.0
US-Seg,34.3603,-106.7003,L30,2025-07-16,0.20247799005717604,0.14300985887623702,0.05909039916310337,1.0
US-Seg,34.3603,-106.7003,L30,2025-07-17,0.19884478690350285,0.1437312053774106,0.060207765016966085,1.0
US-Seg,34.3603,-106.7003,L30,2025-07-25,0.22819950350463364,0.1597892357639912,0.06580606428512709,1.0
US-Seg,34.3603,-106.7003,L30,2025-08-01,0.25796424254301265,0.16306573549073064,0.06472365940991014,1.0
US-Seg,34.3603,-106.7003,L30,2025-08-02,0.23880539414279175,0.16605328483228793,0.06867734637418281,1.0
US-Seg,34.3603,-106.7003,L30,2025-08-09,0.21552059119914224,0.150389165594917,0.061585008101480126,1.0
US-Seg,34.3603,-106.7003,L30,2025-08-25,0.2400213146722655,0.16599200154408097,0.0685380752086735,1.0
US-Seg,34.3603,-106.7003,L30,2025-08-26,0.23389307063474296,0.16122941801483198,0.06583203556424856,1.0
US-Seg,34.3603,-106.7003,L30,2025-09-03,0.19151905856671436,0.13183047521480204,0.05319607472546787,0.0423362048957636
US-Seg,34.3603,-106.7003,L30,2025-09-10,0.20149364837688805,0.13483450526898286,0.05384638891663557,1.0
US-Seg,34.3603,-106.7003,L30,2025-09-11,0.19640199040375012,0.1341543023332693,0.0537031394243436,1.0
US-Seg,34.3603,-106.7003,L30,2025-09-26,0.20591110198682536,0.13594272232693547,0.05328388182764625,1.0
US-Seg,34.3603,-106.7003,L30,2025-10-04,0.1956195628737413,0.12628479572989965,0.048691036885122836,1.0
US-Seg,34.3603,-106.7003,L30,2025-10-05,0.18463366209351892,0.11939711498163394,0.045762851591842124,1.0
US-Seg,34.3603,-106.7003,L30,2025-10-20,0.1975652192398742,0.12288970277192099,0.0457353997223217,1.0
US-Seg,34.3603,-106.7003,L30,2025-10-28,0.1952546684441775,0.12068892442641829,0.04472190130104411,1.0
US-Seg,34.3603,-106.7003,L30,2025-10-29,0.19168346406538955,0.1191481394977914,0.044183847103472375,1.0
US-Seg,34.3603,-106.7003,L30,2025-11-05,0.1877083984844264,0.11571337397115533,0.04273798745667128,1.0
