site_id,year,vi_index,EOS90,EOS50,EOS10,senescence_kinetic_i,leaf_out_90,temperature_senescence_rate,photoperiod_senescence_rate
FR-FBn,2017,NIRv,200.74426202998535,250.50140173717247,323.99636474721365,0.0154940722454689,154.8022848146183,-0.12865693077607665,-0.044420983603412484
FR-FBn,2020,NIRv,166.01855076520573,240.24198792856728,312.05664209580914,0.0166205639935117,131.7259306932116,-0.08498176665092112,-0.03737796665320627
FR-FBn,2023,NIRv,212.565744414622,262.5771428047424,334.94493804686675,0.0146631156679868,155.14537258123605,-0.1401619220080563,-0.04388497797581624
FR-Pue,2015,NDVI,,,,1.099824195646376,325.3115270903796,,
FR-Pue,2015,NIRv,212.4599493758311,271.5160994140902,325.96418243381834,0.0241357869632021,149.14826039250164,-0.1038519113048107,-0.04615261828534844
FR-Pue,2017,NDVI,295.5052301452246,305.44541860806305,331.399442859557,0.0578682372224735,-5.0,-0.1905885456885457,-0.03810809774161875
FR-Pue,2017,NIRv,202.07228898623285,238.31453856155343,274.5410468179258,0.060554757340401,80.53737604227759,-0.13588164833751362,-0.04614893347566894
FR-Pue,2018,NIRv,226.62073812568437,266.5425345043316,306.187594958292,0.0547004540442719,137.41305953699958,-0.15761923347398032,-0.049144491659280275
FR-Pue,2019,NIRv,99.03995157879164,165.15158269314253,263.1676102351286,0.0122629871941997,78.36742871825861,0.07615436589446765,-0.005352247479848347
FR-Pue,2021,NDVI,334.58098668928847,343.90144684664847,357.40060196605697,0.0333893669664992,321.30251286688684,-0.13602964426877467,-0.010136860596281645
FR-Pue,2021,NIRv,200.51996111133928,243.95000725238864,311.06833367514326,0.0234336516067572,153.07887728385057,-0.1251744383994384,-0.046248352844997294
FR-Pue,2022,NIRv,210.54992398774425,256.550721425605,307.25881693790484,0.0382666626045344,150.0520870772158,-0.13071495634336205,-0.04778556508910655
FR-Pue,2023,NIRv,228.2008895542513,273.13085315257126,334.4926083800683,0.0222493866753636,177.61955719545708,-0.1664536362949342,-0.04514190855511741
FR-Pue,2024,NIRv,243.77632766123733,268.10432552521445,292.41755051046044,0.0903102103990801,113.62703576151254,-0.12205224489795913,-0.050596604687923694
FR-Pue,2025,NIRv,242.29765646689447,289.36939540712683,335.48887961455125,0.0430426740425427,146.01191783829552,-0.13636544716660204,-0.044479047926011234
IT-Cp2,2017,NDVI,,,,3.746581487174409,298.08384075630244,,
IT-Cp2,2017,NIRv,130.91928379846487,150.20191927732307,199.30611417730157,0.0340404369750799,123.58510850202656,0.11679864815491414,0.006786139562751807
IT-Cp2,2020,NDVI,44.65504989265273,92.46299301072894,142.31213377899255,0.0438370578905961,,0.0741574635477434,0.04361736757650813
IT-Cp2,2020,NIRv,188.81539187746907,210.12787029491108,231.473431676814,0.0960468300736093,129.83673304972243,-0.10113742071881608,-0.03257119000809455
IT-Cp2,2022,NDVI,47.20173113166201,80.59478837125944,118.92471255298685,0.0561307919513668,7.9447128183948115,0.1018029175050302,0.046158206028018414
IT-Cp2,2022,NIRv,166.87530785182,168.26441358887615,169.65511008955028,1.583560484770967,9.116919570320167,,0.004489661664612668
IT-Cp2,2023,NIRv,188.41430790587927,231.5441612244809,304.1689805460798,0.0216386295498754,147.08086567845714,-0.06242964671510399,-0.04097494889734482
IT-Cp2,2025,NIRv,184.3824853227977,248.02406237369576,317.164423231391,0.0277728672060012,128.34961999825325,-0.07924449862784505,-0.039828995230185904
IT-MBo,2022,NDVI,245.7290151374184,290.5232760378139,314.96259123545286,0.0416872606046111,171.43364703886635,-0.07817343807088054,-0.052488563067900305
IT-MBo,2022,NIRv,170.12657831647553,238.75091081418515,299.3135653392674,0.0216710742714981,134.10188380742457,-0.06747428443649373,-0.04235170919186633
IT-MBo,2023,NDVI,178.42133658337124,186.4062929873622,199.06736508122327,0.1587984342220986,,0.2856727272727273,-0.019697053573794376
IT-MBo,2023,NIRv,180.55828991241304,199.3456915818256,234.4075406153534,0.05305861498711,,0.03056485610825234,-0.03562596114832315
IT-MBo,2024,NDVI,173.43123708744702,254.6656325322959,327.3290196027436,0.015916343808676,138.76205830080255,-0.09911353655831835,-0.04323595361414305
IT-MBo,2024,NIRv,180.272829456059,224.42650641553556,294.4708351715367,0.0243397236900941,164.37105717421392,-0.10270648630039896,-0.04545784386873121
IT-Ren,2017,NDVI,217.86387590874523,257.975885068131,296.56172235921343,0.0113556202961746,171.85732494383552,-0.10468566212268747,-0.05426930852053399
IT-Ren,2022,NDVI,255.07048542844265,293.92804758270137,315.592123944394,0.0473378750282958,153.17992784361306,-0.011135065295915533,-0.05307971681670842
IT-Ren,2022,NIRv,207.11671923007876,248.6216460151363,300.27100681593123,0.0194956821405375,163.501488516516,-0.10178222076333142,-0.052790347650354986
IT-Ren,2023,NDVI,250.90883562332297,251.34129781112716,251.77578154281795,4.999999999999999,235.8676243814822,,-0.056231355973242
IT-Ren,2023,NIRv,236.29714636917117,272.6414314635411,294.6086799503741,0.0430414519220849,183.72124610659148,-0.07969789904334183,-0.055626054689942785
IT-Ren,2024,NDVI,238.7715886781792,280.15005191228414,311.62639300972245,0.0052993618679252,168.64791125486568,-0.07344637788473408,-0.05415590847157235
