site_id,year,vi_index,n_obs,method,r2,rmse,corr,vmin,vmax,S,greenup_kinetic_i,A,senescence_kinetic_i,leaf_out_10,leaf_out_50,leaf_out_90,EOS10,EOS50,EOS90,solstice_doy,growing_season_length,total_gpp_growing_season,total_reco_growing_season,mean_radiation_growing_season,mean_temperature_growing_season,gpp_sos10_to_solstice,gpp_solstice_to_eos10,gpp_solstice_to_eos90,photoperiod_at_EOS90
DE-Hai,2024,NDVI,16,double_logistic,0.9895445513331126,0.0162383112278702,0.9949145685957942,0.5336051925135517,0.8797865268577956,114.99597597613334,0.1845969598280046,296.54556862472464,0.2128569046013503,103.09285054537337,114.995974855626,126.89899676192655,306.40366079683264,296.4489234203123,286.1686286525389,173,181.45294856468632,1252.1386353999999,538.880827,185.59998522167487,14.342625615763547,507.56826899999993,753.2091164000001,748.4468770000001,10.522319538727851
DE-Hai,2024,NIRv,16,double_logistic,0.975648690233796,0.0200719865062269,0.9887667086408872,0.0682361982153633,0.3793152235844286,117.32778699429429,0.0878835927404824,263.0511180665269,0.0386959994340663,92.04376159680852,116.66420522284535,139.55555359197675,300.1391589411959,259.4044169791304,211.9559261716634,173,142.74021175628508,1279.2915590000002,589.3584920000001,187.96520192307693,14.440298076923078,534.815216,753.1150930000001,366.97458000000006,15.211193950430001
DE-HoH,2015,NDVI,13,double_logistic,0.9792112836424102,0.0217451186746892,0.9896286752940896,0.5338126325612084,0.8672535398997774,114.90470315709064,0.7725875511685655,298.2704521918814,0.1434047684463777,112.05899856323492,114.90470679403576,117.75027774352536,313.4418100209981,298.2400903639361,282.9314321487914,172,183.33538356990033,1761.647399,1239.55592,188.62502487562188,14.181004975124376,650.9178999999999,1124.702999,1070.32007,10.684799834165412
DE-HoH,2015,NIRv,13,double_logistic,0.9434106903476526,0.0232297030941994,0.9714106106201024,0.0675546561553542,0.3292464866684607,115.42550488597576,0.6743315990565896,276.28398189613523,0.030435878376242,112.18625372573898,115.42267343223008,118.65029179632783,319.9967561815186,268.92680449300946,203.2033590052966,172,153.50413106077937,1764.8475549999998,1263.10149,183.9805120772947,14.070164251207729,650.9178999999999,1127.903155,404.97819,15.7678274427939
DE-HoH,2022,NDVI,26,double_logistic,0.9757459201696108,0.0240485163276415,0.987859860446502,0.6921460690037382,1.192561012669105,113.06829245033404,0.1811939819367044,123.88846794612456,0.0086219232130584,-5.0,113.06237657572372,123.61499858575422,295.1161149384956,218.17074608360315,157.09645705902443,172,105.10836950787943,1800.2545207300002,1489.154370549652,166.19988813559323,11.965572881355932,785.8061707300001,1029.91935,,16.312496347057273
DE-HoH,2022,NIRv,26,double_logistic,0.9894343423307402,0.0095047389184645,0.99472535761967,0.0754863633670466,0.3306816963183858,120.02032049898187,0.1050089630451468,287.951128302735,0.0248584915385287,99.2946365185821,119.52935887619226,138.57934064964084,308.6214523333094,266.7933091439279,206.68676708141749,172,147.26395026773565,1778.49635,1407.18763,201.20186124401914,15.741229665071767,734.18345,1059.7839,441.63612,15.605097521271688
DE-HoH,2023,NDVI,15,double_logistic,0.9678802853991956,0.025913517145544,0.9840227774693912,0.5218632554128987,0.8690034641545892,119.85541523941966,0.1631264188615677,258.5865683433712,1.2928995784910746,106.3859415266782,119.85541535931588,133.32495670448455,260.28654315783047,258.58657077531177,256.88480687074184,172,138.7311554159959,1664.602359,1305.585452,222.2111038961039,16.458214285714288,581.8567889999999,1097.20817,1066.42212,12.473787107881913
DE-HoH,2023,NIRv,15,double_logistic,0.957657148357177,0.0182444259379062,0.979207559896141,0.062040443990182,0.3359090891985575,123.9773648130652,0.0812713533578375,289.7830865842307,0.0172773262815088,98.21315951371147,122.92893996138868,145.66235077972556,260.4825121571397,231.8894713137477,193.1086056040809,172,108.96053135235901,1682.941889,1334.421192,217.74851851851852,16.029740740740742,600.1963189999999,1097.20817,320.59195,16.16183228813701
DE-HoH,2024,NDVI,17,double_logistic,0.9678884087003492,0.0267086012475349,0.984248304384016,0.501118727872505,0.8734607774660574,117.7366349710548,0.4778040608469807,306.74774086925834,0.0459837301534634,113.1380179398356,117.73581534872883,122.33087696475744,312.3402137882013,289.7039059772316,248.0745038766875,173,171.96809062850278,2037.2523099999999,1641.4030300000002,187.28732160804023,15.836487437185928,671.45737,1378.74344,1059.66228,13.077536484970118
DE-HoH,2024,NIRv,17,double_logistic,0.986242644520872,0.0110367948808982,0.9933581258156624,0.0774269460788034,0.3622845248124361,122.50893579035632,1.8865576504265296,263.4868434110049,0.0205138742115133,121.35717861685268,122.50853196756844,123.66204934155266,301.13794597568057,244.8343367983196,169.49176219399206,173,122.32580483075117,1970.9735099999998,1551.6185099999998,195.32517777777778,16.555444444444444,626.87948,1357.04253,,16.50244743857983
