site_id,year,n_growing_season_days,passed,failed_variables,GPP_NT_VUT_REF_frac_bad,GPP_NT_VUT_REF_max_consecutive_bad_days,NEE_VUT_REF_frac_bad,NEE_VUT_REF_max_consecutive_bad_days,RECO_NT_VUT_REF_frac_bad,RECO_NT_VUT_REF_max_consecutive_bad_days
CA-SCC,2019,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-SCC,2020,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-SCC,2021,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-SCC,2022,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-SCC,2023,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-SCC,2024,245,False,GPP_NT_VUT_REF;NEE_VUT_REF;RECO_NT_VUT_REF,1.0,245,1.0,245,1.0,245
CA-TP1,2002,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2003,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2004,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2005,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2006,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2007,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2008,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2009,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2010,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2011,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2012,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2013,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2014,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2015,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2016,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2017,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2018,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2019,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2020,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2021,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2022,245,True,,0.0,0,0.0,0,0.0,0
CA-TP1,2023,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2002,245,True,,0.0,0,0.0,0,0.0,0
CA-TP3,2003,245,True,,0.0,0,0.0,0,0.0,0
