site_id,lat,lon,sensor,date,blue,green,red,nir,valid_pixel_frac
US-Seg,34.3603,-106.7003,L30,2023-03-05,0.08184705494195435,0.11253902184844887,0.14829977701020755,0.19825690016883513,1.0
US-Seg,34.3603,-106.7003,L30,2023-03-13,0.09094947663780671,0.13604294687669305,0.17409808083492637,0.22752503449897282,0.8904027923783
US-Seg,34.3603,-106.7003,L30,2023-03-14,0.08485544163355946,0.11840723033025247,0.15701365971757672,0.2101692214925754,1.0
US-Seg,34.3603,-106.7003,L30,2023-03-22,0.09128863753236768,0.12815642551913398,0.17016835228746577,0.22958402619447435,1.0
US-Seg,34.3603,-106.7003,L30,2023-03-29,0.08698806959101844,0.1208628385235345,0.16014838605449153,0.21565761419125265,1.0
US-Seg,34.3603,-106.7003,L30,2023-03-30,0.08935954601098559,0.12521164598322565,0.16649549924684054,0.22339472424354126,1.0
US-Seg,34.3603,-106.7003,L30,2023-04-06,0.08638195238940392,0.12044050222762256,0.15923381207876544,0.21562140929548831,1.0
US-Seg,34.3603,-106.7003,L30,2023-04-07,0.0905559699828432,0.12698698285709076,0.1689097947128663,0.2273848444304884,1.0
US-Seg,34.3603,-106.7003,L30,2023-04-14,0.07896125103129469,0.1167143134254098,0.15139347151107496,0.20700088864536687,0.722582494846205
US-Seg,34.3603,-106.7003,L30,2023-04-15,0.09119877492138474,0.1285155187243162,0.1698041507957093,0.23181408703883205,1.0
US-Seg,34.3603,-106.7003,L30,2023-04-23,0.09300235368001418,0.13144680100663944,0.17394588265275923,0.241185139323112,1.0
US-Seg,34.3603,-106.7003,L30,2023-04-30,0.09173391720252488,0.12778808187821114,0.16967741796023486,0.23751546183916517,1.0
US-Seg,34.3603,-106.7003,L30,2023-05-01,0.09060879626469345,0.13220186355755184,0.17244823633277345,0.2399361625732111,1.0
US-Seg,34.3603,-106.7003,L30,2023-05-08,0.09275875826541244,0.12991635516357902,0.17261635971439093,0.24074090406433052,1.0
US-Seg,34.3603,-106.7003,L30,2023-05-09,0.09572644704447507,0.1336214302292243,0.17907705344018668,0.2475801411661911,1.0
US-Seg,34.3603,-106.7003,L30,2023-05-16,0.0905645878557029,0.12759290482886665,0.17091887540331593,0.2395334134276262,1.0
US-Seg,34.3603,-106.7003,L30,2023-05-17,0.09500614496156831,0.13447445583664405,0.18018879544554703,0.2497877833449378,1.0
US-Seg,34.3603,-106.7003,L30,2023-05-24,0.09026474485872,0.12530804310529212,0.1669682139427784,0.22753112891995586,1.0
US-Seg,34.3603,-106.7003,L30,2023-05-25,0.09754664780382648,0.1345018808946376,0.17968621665319318,0.2442378658043655,0.16888063674962794
US-Seg,34.3603,-106.7003,L30,2023-06-02,0.09644072880821482,0.1359221905375578,0.1806298464969407,0.24347778844088605,0.9958223544991605
US-Seg,34.3603,-106.7003,L30,2023-06-09,0.09512888992040634,0.133704739215713,0.17840206925425853,0.2428134035068558,1.0
US-Seg,34.3603,-106.7003,L30,2023-06-10,0.09985245721098936,0.13614083307166167,0.18274119213073592,0.24417884008901386,1.0
